FAAR;REGM    ;RKAL  ;FM;FD;DBNR  ;TUR;AM;AD;AH  ;LM;LD;LH  ;RE; MA;HA;   VAR;OMRA   ;OKSO;HO;LO;   LENG;BTON;TENH;HEST;FISK;       VEKT
2019;N 0020MS;3YCU  ;03;07;      ;   ;  ;  ;    ;  ;  ;    ;61;140;02;  4.67;IIa    ;NOR;00;04;   36.5; 490;    ;1000;1027;        310
2019;N 0020MS;3YCU  ;03;07;      ;   ;  ;  ;    ;  ;  ;    ;61;140;02;  4.67;IIa    ;NOR;00;04;   36.5; 490;    ;1000;1032;         50
2019;N 0020MS;3YCU  ;03;08;      ;   ;  ;  ;    ;  ;  ;    ;61;140;03;  5.73;IIa    ;NOR;00;04;   36.5; 490;    ;1000;1022;      17700
2019;N 0020MS;3YCU  ;03;08;      ;   ;  ;  ;    ;  ;  ;    ;61;140;03;  5.73;IIa    ;NOR;00;04;   36.5; 490;    ;1000;1027;        100
2019;N 0020MS;3YCU  ;03;08;      ;   ;  ;  ;    ;  ;  ;    ;61;140;03;  5.73;IIa    ;NOR;00;04;   36.5; 490;    ;1000;1032;      13200
2019;N 0020MS;3YCU  ;03;08;      ;   ;  ;  ;    ;  ;  ;    ;61;140;03;  5.73;IIa    ;NOR;00;04;   36.5; 490;    ;1000;1023;        100
2019;N 0020MS;3YCU  ;03;09;      ;   ;  ;  ;    ;  ;  ;    ;61;140;02;   4.5;IIa    ;NOR;00;10;   36.5; 490;    ;1000;1022;      11000
2019;N 0020MS;3YCU  ;03;09;      ;   ;  ;  ;    ;  ;  ;    ;61;140;02;   4.5;IIa    ;NOR;00;10;   36.5; 490;    ;1000;1027;         20
2019;N 0020MS;3YCU  ;03;09;      ;   ;  ;  ;    ;  ;  ;    ;61;140;02;   4.5;IIa    ;NOR;00;10;   36.5; 490;    ;1000;1032;        100
2019;N 0020MS;3YCU  ;03;09;      ;   ;  ;  ;    ;  ;  ;    ;61;140;02;   4.5;IIa    ;NOR;00;10;   36.5; 490;    ;1000;    ;          0
2019;N 0020MS;3YCU  ;03;10;      ;   ;  ;  ;    ;  ;  ;    ;61;140;02;  4.48;IIa    ;NOR;05;09;   36.5; 490;    ;1000;1022;      32000
2019;N 0020MS;3YCU  ;03;10;      ;   ;  ;  ;    ;  ;  ;    ;61;140;02;  4.48;IIa    ;NOR;05;09;   36.5; 490;    ;1000;1027;        320
2019;N 0020MS;3YCU  ;03;10;      ;   ;  ;  ;    ;  ;  ;    ;61;140;02;  4.48;IIa    ;NOR;05;09;   36.5; 490;    ;1000;1032;        400
2019;N 0020MS;3YCU  ;03;11;      ;   ;  ;  ;    ;  ;  ;    ;61;140;02;  3.72;IIa    ;NOR;05;09;   36.5; 490;    ;1000;1022;      13500
2019;N 0020MS;3YCU  ;03;11;      ;   ;  ;  ;    ;  ;  ;    ;61;140;02;  3.72;IIa    ;NOR;05;09;   36.5; 490;    ;1000;1027;        150
2019;N 0020MS;3YCU  ;03;11;      ;   ;  ;  ;    ;  ;  ;    ;61;140;02;  3.72;IIa    ;NOR;05;09;   36.5; 490;    ;1000;1032;         50
2019;N 0020MS;3YCU  ;03;12;      ;   ;  ;  ;    ;  ;  ;    ;61;140;03;   5.1;IIa    ;NOR;05;09;   36.5; 490;    ;1000;1022;      18500
2019;N 0020MS;3YCU  ;03;12;      ;   ;  ;  ;    ;  ;  ;    ;61;140;03;   5.1;IIa    ;NOR;05;09;   36.5; 490;    ;1000;1027;        200
2019;N 0020MS;3YCU  ;03;12;      ;   ;  ;  ;    ;  ;  ;    ;61;140;03;   5.1;IIa    ;NOR;05;09;   36.5; 490;    ;1000;1032;        300
2019;N 0020MS;3YCU  ;03;13;      ;   ;  ;  ;    ;  ;  ;    ;61;140;02;  4.05;IIa    ;NOR;00;10;   36.5; 490;    ;1000;1022;       4100
2019;N 0020MS;3YCU  ;03;13;      ;   ;  ;  ;    ;  ;  ;    ;61;140;02;  4.05;IIa    ;NOR;00;10;   36.5; 490;    ;1000;1027;        150
2019;N 0020MS;3YCU  ;03;14;      ;   ;  ;  ;    ;  ;  ;    ;61;140;04;  6.77;IIa    ;NOR;05;09;   36.5; 490;    ;1000;1022;       8000
2019;N 0020MS;3YCU  ;03;14;      ;   ;  ;  ;    ;  ;  ;    ;61;140;04;  6.77;IIa    ;NOR;05;09;   36.5; 490;    ;1000;1032;       2000
2019;N 0020MS;3YCU  ;03;14;      ;   ;  ;  ;    ;  ;  ;    ;61;140;04;  6.77;IIa    ;NOR;05;09;   36.5; 490;    ;1000;1027;        200
2019;N 0020MS;3YCU  ;03;14;      ;   ;  ;  ;    ;  ;  ;    ;61;140;04;  6.77;IIa    ;NOR;05;09;   36.5; 490;    ;1000;    ;          0
2019;N 0020MS;3YCU  ;03;15;      ;   ;  ;  ;    ;  ;  ;    ;61;140;02;  3.52;IIa    ;NOR;05;09;   36.5; 490;    ;1000;1022;      13000
2019;N 0020MS;3YCU  ;03;15;      ;   ;  ;  ;    ;  ;  ;    ;61;140;02;  3.52;IIa    ;NOR;05;09;   36.5; 490;    ;1000;1027;         50
2019;N 0020MS;3YCU  ;03;15;      ;   ;  ;  ;    ;  ;  ;    ;61;140;02;  3.52;IIa    ;NOR;05;09;   36.5; 490;    ;1000;1032;        300
2019;N 0020MS;3YCU  ;03;16;      ;   ;  ;  ;    ;  ;  ;    ;61;140;04;  6.97;IIa    ;NOR;05;09;   36.5; 490;    ;1000;1022;      28000
2019;N 0020MS;3YCU  ;03;16;      ;   ;  ;  ;    ;  ;  ;    ;61;140;04;  6.97;IIa    ;NOR;05;09;   36.5; 490;    ;1000;1027;        340
2019;N 0020MS;3YCU  ;03;16;      ;   ;  ;  ;    ;  ;  ;    ;61;140;04;  6.97;IIa    ;NOR;05;09;   36.5; 490;    ;1000;1032;       1210
2019;N 0020MS;3YCU  ;03;17;      ;   ;  ;  ;    ;  ;  ;    ;61;140;04;  6.87;IIa    ;NOR;05;09;   36.5; 490;    ;1000;1022;      11900
2019;N 0020MS;3YCU  ;03;17;      ;   ;  ;  ;    ;  ;  ;    ;61;140;04;  6.87;IIa    ;NOR;05;09;   36.5; 490;    ;1000;1027;       4200
2019;N 0020MS;3YCU  ;03;17;      ;   ;  ;  ;    ;  ;  ;    ;61;140;04;  6.87;IIa    ;NOR;05;09;   36.5; 490;    ;1000;1032;       2850
2019;N 0020MS;3YCU  ;03;18;      ;   ;  ;  ;    ;  ;  ;    ;61;140;03;  6.08;IIa    ;NOR;05;09;   36.5; 490;    ;1000;1022;      21100
2019;N 0020MS;3YCU  ;03;18;      ;   ;  ;  ;    ;  ;  ;    ;61;140;03;  6.08;IIa    ;NOR;05;09;   36.5; 490;    ;1000;1027;       3010
2019;N 0020MS;3YCU  ;03;18;      ;   ;  ;  ;    ;  ;  ;    ;61;140;03;  6.08;IIa    ;NOR;05;09;   36.5; 490;    ;1000;1032;       1020
2019;N 0020MS;3YCU  ;03;19;      ;   ;  ;  ;    ;  ;  ;    ;61;140;02;  3.48;IIa    ;NOR;05;09;   36.5; 490;    ;1000;1022;       8300
2019;N 0020MS;3YCU  ;03;19;      ;   ;  ;  ;    ;  ;  ;    ;61;140;02;  3.48;IIa    ;NOR;05;09;   36.5; 490;    ;1000;1027;        300
2019;N 0020MS;3YCU  ;03;19;      ;   ;  ;  ;    ;  ;  ;    ;61;140;02;  3.48;IIa    ;NOR;05;09;   36.5; 490;    ;1000;1032;        700
2019;N 0020MS;3YCU  ;03;20;      ;   ;  ;  ;    ;  ;  ;    ;61;140;01;  1.42;IIa    ;NOR;05;09;   36.5; 490;    ;1000;1022;        350
